file,passcode,set_code,edition,layout,source
70405001/ebay_1000.jpg,70405001,,first,STANDARD,ebay
38033121/ebay_1001.jpg,38033121,LCYW-DE022,first,STANDARD,ebay
33166263/ebay_1004.jpg,33166263,,first,STANDARD,ebay
82344137/ebay_1005.jpg,82344137,,first,STANDARD,ebay
22912101/ebay_1006.jpg,22912101,,first,STANDARD,ebay
58916810/ebay_1007.jpg,58916810,CORI-DE012,first,STANDARD,ebay
98684220/ebay_1008.jpg,98684220,,first,STANDARD,ebay
44001993/ebay_1009.jpg,44001993,,first,STANDARD,ebay
14532163/ebay_1010.jpg,14532163,,first,SPELL_TRAP,ebay
07894706/ebay_1011.jpg,07894706,CORI-DE029,first,STANDARD,ebay
57294268/ebay_1012.jpg,57294268,,first,STANDARD,ebay
26268488/ebay_1013.jpg,26268488,,first,STANDARD,ebay
89604813/ebay_1015.jpg,89604813,SDWD-DE043,unlimited,STANDARD,ebay
98476659/ebay_1016.jpg,98476659,,first,SPELL_TRAP,ebay
89631139/ebay_1019.jpg,89631139,CT14-DE002,limited,STANDARD,ebay
85059922/ebay_1020.jpg,85059922,,first,STANDARD,ebay
61441708/ebay_1022.jpg,61441708,,limited,STANDARD,ebay
65403020/ebay_1023.jpg,65403020,,first,STANDARD,ebay
33396948/ebay_1024.jpg,33396948,,first,STANDARD,ebay
44508094/ebay_1025.jpg,44508094,,first,STANDARD,ebay
84636823/ebay_1027.jpg,84636823,,first,STANDARD,ebay
77585513/ebay_1029.jpg,77585513,,first,STANDARD,ebay
73819701/ebay_1030.jpg,73819701,,first,STANDARD,ebay
00613496/ebay_1032.jpg,00613496,,first,SPELL_TRAP,ebay
38033121/ebay_1033.jpg,38033121,,first,STANDARD,ebay
43228023/ebay_1035.jpg,43228023,,limited,STANDARD,ebay
31699677/ebay_1036.jpg,31699677,,first,STANDARD,ebay
29071332/ebay_1038.jpg,29071332,,unlimited,STANDARD,ebay
38033121/ebay_1039.jpg,38033121,,,STANDARD,ebay
65192027/ebay_1040.jpg,65192027,,first,STANDARD,ebay
25366484/ebay_1044.jpg,25366484,,first,STANDARD,ebay
58604027/ebay_1045.jpg,58604027,,first,STANDARD,ebay
22110647/ebay_1046.jpg,22110647,,first,STANDARD,ebay
38033121/ebay_1047.jpg,38033121,,first,STANDARD,ebay
